,Title,Company,Location,Salary,Link
0,Apprentice Conversion - Software Developer,IBM,"New York City, NY",,https://job-openings.monster.com/apprentice-conversion-software-developer-new-york-city-ny-us-ibm/223116672
1,Software Developer - remote during Pandemic,UtiliSave LLC,"New York, NY",,https://job-openings.monster.com/software-developer-remote-during-pandemic-new-york-ny-us-utilisave-llc/223040775
2,Software Developer,Luxoft USA,"New York, NY",,https://job-openings.monster.com/software-developer-new-york-ny-us-luxoft-usa/223016308
3,Software Engineers and Software Developers,Sligo Software Solutions Inc.,"Albany, NY",,https://job-openings.monster.com/software-engineers-software-developers-albany-ny-us-sligo-software-solutions-inc/222881616
4,Full-Stack Software Engineer,CyberCoders,"New York, NY",,https://job-openings.monster.com/full-stack-software-engineer-new-york-ny-us-cybercoders/223121475
5,Cloud & Storage Engineer,PSEG,"Bethpage, NY",,https://job-openings.monster.com/cloud-storage-engineer-bethpage-ny-us-pseg/223118113
6,Salesforce Developer,Fusco Personnel Inc.,"Albany, NY",,https://job-openings.monster.com/salesforce-developer-albany-ny-us-fusco-personnel-inc/222687955
7,Software Engineer,"Digital Asset Holdings, LLC","New York City, NY",,https://job-openings.monster.com/software-engineer-new-york-city-ny-us-digital-asset-holdings-llc/222791623
8,Software Engineer,Def Method Inc,"New York, NY",,https://job-openings.monster.com/software-engineer-new-york-ny-us-def-method-inc/222495616
9,Jr. Java Developer / Entry Level JAVA Developers / QA with the Knowledge of JAVA,Company Confidential,"Hicksville, NY",,https://job-openings.monster.com/jr-java-developer-entry-level-java-developers-qa-with-the-knowledge-of-java-hicksville-ny-us/214896608
10,DataStage Developer,Luxoft USA Inc,,,https://job-openings.monster.com/datastage-developer-us-luxoft-usa-inc/222774106
11,SharePoint Developer,Longi Engineering,"New York, NY",,https://job-openings.monster.com/sharepoint-developer-new-york-ny-us-longi-engineering/223109631
12,Programmer Analyst,STCR Business Systems,"Endwell, NY",,https://job-openings.monster.com/programmer-analyst-endwell-ny-us-stcr-business-systems/219387845
13,Video Game Designer,Velan Studios,"Troy, NY",,https://job-openings.monster.com/video-game-designer-troy-ny-us-velan-studios/222585360
14,Beauty Packaging Consultant/Developer,Lucas Group,"New York, NY",,https://job-openings.monster.com/beauty-packaging-consultant-developer-new-york-ny-us-lucas-group/223097435
15,Software Service Specialist,Direct Fulfillment North America,"Rennsslaer, NY",,https://job-openings.monster.com/software-service-specialist-rennsslaer-ny-us-direct-fulfillment-north-america/222673001
16,Lead Web User Interface Designer,University of Rochester Medical Center,"ROCHESTER, NY",,https://job-openings.monster.com/lead-web-user-interface-designer-rochester-ny-us-university-of-rochester-medical-center/223038530
17,Java Developer with Scala,Baanyan Software Services Inc,"Manhattan, NY",,https://job-openings.monster.com/java-developer-with-scala-manhattan-ny-us-baanyan-software-services-inc/222962275
18,Consultant (Software Big Data Engineer),"INSYS Group, Inc.","New York, NY",,https://job-openings.monster.com/consultant-software-big-data-engineer-new-york-ny-us-insys-group-inc/222590237
19,Senior Software Engineer,GETIDA,"New York, NY",$100000 - $120000 Per Year,https://job-openings.monster.com/senior-software-engineer-new-york-ny-us-getida/222094815
20,SAS Administrator and Web Developer,IntePros,"White Plains, NY",,https://job-openings.monster.com/sas-administrator-web-developer-white-plains-ny-us-intepros/e3f9f1c1-4837-4fdc-a416-5331bc10ecf3
21,Senior Java AWS cloud Engineer,Blue Ocean Ventures,"New York City, NY",,https://job-openings.monster.com/senior-java-aws-cloud-engineer-new-york-city-ny-us-blue-ocean-ventures/223132668
22,Java Microservices Developer,Synechron,"New York City, NY",,https://job-openings.monster.com/java-microservices-developer-new-york-city-ny-us-synechron/220114746
23,Full Stack .Net Developer,RCI Technologies Inc,"Brooklyn, NY",,https://job-openings.monster.com/full-stack-net-developer-brooklyn-ny-us-rci-technologies-inc/222662661
24,Sr. Software Development Engineer-Audio,VOCAL Technologies Ltd,"BUFFALO, NY",$80000 - $120000 Per Year,https://job-openings.monster.com/sr-software-development-engineer-audio-buffalo-ny-us-vocal-technologies-ltd/218305753
25,Senior Computer Programmer,New York City Board of Elections,"New York City, NY",,https://job-openings.monster.com/senior-computer-programmer-new-york-city-ny-us-new-york-city-board-of-elections/213133725
